Sentence	Hyp_2	True_Label	Prediction
"He wanted her to sit in it, and she started- It hardened, and she started to scrape it off, you know, and I didn't think she'd be that stupid really.
"	1	0	0
"When I was in second grade, we  I guess there around fifteen of us, and we did- Well, it- it- it could almost be called a gang, but it wasn't, you know- We didn't consider it a gang.
"	1	0	0
"For every six Negro families, there may be two of Caucasian families and that's about it.
"	0	0	1
"We just- If a person came up with a ingenious idea we give him his chance ot be a leader you know, and he'd  Well, we didn't really care that much about how big they were because in most cases, the little boys thought they could beat the bigger ones anyway, even if they couldn't.
"	1	0	1
"It depends upon what type of person he appeared to us- appeared you know, to us, to be.
"	1	0	1
"Uh, as far as I can say, that's what I've wanted to be for a couple of years now.
"	0	0	0
"But, a lot of- a lot of other things have popped up that I don't really know about, and I'm really uncertain as to what I wanna be.
"	0	0	0
"I wouldn't be required I don't think, to take a language.
"	0	0	0
"But I would- I would be required to take uh, I'd have to take Intermediate Algebra over again.
"	1	0	0
"And I'm not sure what other, uh, Math courses I'd have to take, but that would be the stressed subjects.
"	0	0	1
"There will be a lot of courses.
"	0	0	1
"I've talked to some of my consorts about it, but I haven't really got any definite plans or have any real set knowledge as to what I would be required to do- to do it yet, but I'll probably find out next year, when they st- when I start thinking a little bit more about colleges.
"	1	0	1
"I don't- S- some people, it's not good to go to college, but as far as I'm concerned, I'm pretty sure the work in college couldn't be that much harder.
"	1	0	0
"Uh, I don't know all this mess that's been going on lately, I l- like to see really, what it would be like for me to have a chance to help some of these poor people and all the Civil Rights that's going on.
"	0	0	0
"I'd try and uh, get- S- somehow, get some position where- whereas I would be listened to.
"	1	0	1
"I don't know, seems as if money, in most cases, or uh, I don't know, draw something, w- And some money would you- uh, you know- It would kind of give me- not really power, but I couldn't really say a ability to be listened to and thought of seriously.
"	1	0	0
"Unfortunately, in our dec- a- on our economy, money seems to be the only whereas people would join together.
"	0	0	1
"But the people in the ghettos and everything, they don't want a chance to be accepted, they j- they they're sick of waiting, you know.
"	0	0	0
"They hate to be the- have sympathy for.
"	0	0	0
"We don't do it half as much, but there still are a small minority who they're- I don't think there's anyone at our school who would be out and out prejudice.
"	1	0	0
"Used to be, I would waiting for 'em, but now I don't know.
"	1	0	0
"Everybody'd be there.
"	0	0	1
"I've been playing baseball and football and little bit of everything that day, and all of a sudden I remember that in- uh, in order for my last requirement for my merit badge, I'd have to be at the uh, camp.
"	0	0	0
